"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboard.tsx", "TypeScript JSX", 3, 0, 9, 12
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 23, 0, 8, 31
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/editModal.tsx", "TypeScript JSX", -1, 0, 1, 0
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/utilityFunctions.tsx", "TypeScript JSX", 26, 2, 14, 42
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", -4, 21, 6, 23
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", -2, 0, 0, -2
"Total", "-", 45, 23, 38, 106
