"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", -10, -2, -1, -13
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/addClimbModal.tsx", "TypeScript JSX", 19, 0, 11, 30
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/climbModal.tsx", "TypeScript JSX", -9, 0, -2, -11
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalTag.tsx", "TypeScript JSX", 11, 2, 4, 17
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 14, 0, 5, 19
"Total", "-", 25, 0, 17, 42
