"filename", "language", "C#", "Markdown", "JSON", "XML", "Properties", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Migrations/20241203235233_AddUserIdAsString.cs", "C#", 173, 0, 0, 0, 0, 0, 0, 0, 3, 32, 208
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Migrations/AppDbContextModelSnapshot.cs", "C#", 277, 0, 0, 0, 0, 0, 0, 0, 1, 51, 329
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Program.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 7, 14, 58
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Properties/launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/bin/Debug/net8.0/ClimbWithFriendsAPI.deps.json", "JSON", 0, 0, 2837, 0, 0, 0, 0, 0, 0, 0, 2837
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/bin/Debug/net8.0/ClimbWithFriendsAPI.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/bin/Debug/net8.0/appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/ClimbWithFriendsAPI.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/ClimbWithFriendsAPI.csproj.nuget.dgspec.json", "JSON", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 109
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/ClimbWithFriendsAPI.csproj.nuget.g.props", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 28
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/ClimbWithFriendsAPI.csproj.nuget.g.targets", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ApiEndpoints.json", "JSON", 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 381
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ClimbWithFriendsAPI.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ClimbWithFriendsAPI.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ClimbWithFriendsAPI.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ClimbWithFriendsAPI.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 9, 5, 17
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/ClimbWithFriendsAPI.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/EFCoreNpgsqlNetTopologySuite.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 9, 5, 18
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/staticwebassets.build.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/staticwebassets/msbuild.build.ClimbWithFriendsAPI.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/staticwebassets/msbuild.buildMultiTargeting.ClimbWithFriendsAPI.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/Debug/net8.0/staticwebassets/msbuild.buildTransitive.ClimbWithFriendsAPI.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/obj/project.assets.json", "JSON", 0, 0, 7192, 0, 0, 0, 0, 0, 0, 0, 7192
"/Users/mphelps/climb_w_friends_v2/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, -37, 0, 0, -6, -43
"/Users/mphelps/climb_w_friends_v2/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, -32, -3, -46
"/Users/mphelps/climb_w_friends_v2/src/assets/react.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/mphelps/climb_w_friends_v2/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, -64, 0, 0, -9, -73
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -31, 0, 0, -2, -3, -36
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -17, 0, 0, 0, -10, -27
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/dashboardObjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -377, 0, 0, 0, -2, -379
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -136, 0, 0, 0, -18, -154
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -76, 0, 0, -1, -5, -82
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -221, 0, 0, 0, -16, -237
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/navBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -30, 0, 0, 0, -4, -34
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/utilityFunctions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -26, 0, 0, -2, -14, -42
"/Users/mphelps/climb_w_friends_v2/src/pages/filterProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -28, 0, 0, 0, -7, -35
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -38, 0, 0, 0, -3, -41
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -16, 0, 0, -22, -10, -48
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -223, 0, 0, -14, -43, -280
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/activityFeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -62, 0, 0, -1, -9, -72
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/chatOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -89, 0, 0, -1, -9, -99
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapLayers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -298, 0, 0, -45, -29, -372
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -95, 0, 0, 0, -3, -98
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapObjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -462, 0, 0, 0, -13, -475
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/addClimbModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -280, 0, 0, -11, -28, -319
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/allClimbsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -26, 0, 0, 0, -4, -30
