"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/App.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 2, 13
"/Users/mphelps/climb_w_friends_v2/src/ComingSoon.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 1, 9
"/Users/mphelps/climb_w_friends_v2/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/mphelps/climb_w_friends_v2/src/index.css", "CSS", 0, 0, 35, 0, 4, 5, 44
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 29, 0, 0, 0, 2, 3, 34
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboard.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 4, 41
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/buttonAndDropDown.tsx", "TypeScript JSX", 70, 0, 0, 0, 2, 8, 80
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 268, 0, 0, 0, 9, 30, 307
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/addFriendModal.tsx", "TypeScript JSX", 179, 0, 0, 0, 2, 12, 193
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 113, 0, 0, 0, 1, 10, 124
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 137, 0, 0, 0, 0, 11, 148
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/navBar.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 12, 110
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/utilityFunctions.tsx", "TypeScript JSX", 198, 0, 0, 0, 7, 28, 233
