"filename", "language", "C#", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Migrations/20241213050016_AddFeatures.Designer.cs", "C#", 2107, 2, 84, 2193
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Migrations/20241213050016_AddFeatures.cs", "C#", 354, 3, 28, 385
"/Users/mphelps/climb_w_friends_v2/ClimbWithFriendsAPI/ClimbWithFriendsAPI/Migrations/AppDbContextModelSnapshot.cs", "C#", 2105, 1, 84, 2190
"Total", "-", 4566, 6, 196, 4768
