"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 0, 0, -2, -2
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/utilityFunctions.tsx", "TypeScript JSX", 2, 0, -2, 0
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 3, 0, -16, -13
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/attemptOverlay.tsx", "TypeScript JSX", 79, 3, 4, 86
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/chatOverlay.tsx", "TypeScript JSX", -1, 0, 0, -1
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapApiRequests.tsx", "TypeScript JSX", 138, 4, -6, 136
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapLayers.tsx", "TypeScript JSX", 8, 0, -13, -5
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapObjects.tsx", "TypeScript JSX", 0, 0, -2, -2
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/addClimbModal.tsx", "TypeScript JSX", 115, 7, -11, 111
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/climbModal.tsx", "TypeScript JSX", 43, 0, -3, 40
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/tickAndAttempt.tsx", "TypeScript JSX", 157, 4, 9, 170
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/tickClimbsComponent.tsx", "TypeScript JSX", -53, -1, -11, -65
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/tickOverlay.tsx", "TypeScript JSX", 78, 2, 6, 86
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/climbModalBar.tsx", "TypeScript JSX", 37, -1, -2, 34
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 24, 0, 1, 25
"Total", "-", 630, 18, -48, 600
