"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeObjects.tsx", "TypeScript JSX", 42, 0, 0, 42
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 1, 0, 1, 2
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 21, 0, 21, 42
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapNavBar.tsx", "TypeScript JSX", 63, 0, 7, 70
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapObjects.tsx", "TypeScript JSX", 7, 0, 1, 8
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalTag.tsx", "TypeScript JSX", 67, 2, 21, 90
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/styles.tsx", "TypeScript JSX", 37, 0, 2, 39
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 5, 0, 0, 5
"Total", "-", 243, 2, 53, 298
