"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 10, 1, 0, 11
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboard.tsx", "TypeScript JSX", 14, 0, 1, 15
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/dashboardObjects.tsx", "TypeScript JSX", 377, 0, 2, 379
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 113, 0, 10, 123
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 76, 1, 5, 82
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 222, 0, 15, 237
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/navBar.tsx", "TypeScript JSX", 30, 0, 4, 34
"/Users/mphelps/climb_w_friends_v2/src/pages/home.tsx", "TypeScript JSX", -11, 0, -1, -12
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeNavBar.tsx", "TypeScript JSX", 38, 0, 3, 41
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeObjects.tsx", "TypeScript JSX", -377, 0, -2, -379
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/maps.tsx", "TypeScript JSX", -113, 0, -10, -123
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", -76, -1, -5, -82
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/editModal.tsx", "TypeScript JSX", -222, 0, -15, -237
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/navBar.tsx", "TypeScript JSX", -30, 0, -4, -34
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", -61, -9, -9, -79
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/loginButton.tsx", "TypeScript JSX", 12, 0, 4, 16
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/logoutButton.tsx", "TypeScript JSX", 16, 0, 4, 20
"Total", "-", 18, -8, 2, 12
