name,Location,URL,Avg Stars,Your Stars,Route Type,grade,Pitches,Length,Area Latitude,Area Longitude,id
In Tune and On Time,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120741359/in-tune-and-on-time,2.5,-1,Trad,5.11a,1,35,47.82058,-121.56988,477
The Back Road,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118981813/the-back-road,3,-1,Trad,5.8,4,200,47.82354,-121.56683,478
Earth's Clitoris,The Diamond > The Diamond Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/114607758/earths-clitoris,3,-1,Sport,5.11,1,90,47.8253,-121.561,479
Voyage of the Majestic Glass-eyed Tuna,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108143261/voyage-of-the-majestic-glass-eyed-tuna,3.1,-1,Trad,5.10d,1,,47.81859,-121.57101,480
Mermaid,(c) The Beach > (1) Upper Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/121956753/mermaid,3,-1,Sport,5.10-,1,75,47.82399,-121.56549,481
The Prairie Fire that Wanders,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107298924/the-prairie-fire-that-wanders,2.7,-1,Trad,5.10d,1,80,47.825,-121.55807,482
We Shall Continue With Style,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/121217454/we-shall-continue-with-style,3,-1,Trad,5.11a R,1,,47.8191,-121.5719,483
Tomek's Spare Right Tire,The Pit Stop > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122697725/tomeks-spare-right-tire,3,-1,Sport,5.11c,1,50,47.82005,-121.56828,484
Fiction,(2) Lower Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108155062/fiction,3,-1,Trad,5.11b R,1,60,47.82399,-121.56548,485
Bobcat's Anonymous,(B) Darder > (a) West Side > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120244985/bobcats-anonymous,3.3,-1,"Sport, TR",5.13+,1,50,47.82514,-121.55905,486
