"filename", "language", "C#", "TypeScript JSX", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/index.css", "CSS", 0, 0, -34, 0, 0, -4, -5, -43
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 0, -29, 0, 0, 0, -2, -3, -34
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboard.tsx", "TypeScript JSX", 0, -26, 0, 0, 0, 0, -4, -30
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/dashboardObjects.tsx", "TypeScript JSX", 0, -377, 0, 0, 0, 0, -2, -379
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/maps.tsx", "TypeScript JSX", 0, -253, 0, 0, 0, -9, -27, -289
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 0, -113, 0, 0, 0, -1, -10, -124
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 0, -307, 0, 0, 0, -2, -21, -330
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/navBar.tsx", "TypeScript JSX", 0, -87, 0, 0, 0, 0, -11, -98
"/Users/mphelps/climb_w_friends_v2/src/pages/dashboardComponents/utilityFunctions.tsx", "TypeScript JSX", 0, -199, 0, 0, 0, -16, -29, -244
"/Users/mphelps/climb_w_friends_v2/src/pages/filterProvider.tsx", "TypeScript JSX", 0, -28, 0, 0, 0, 0, -7, -35
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeNavBar.tsx", "TypeScript JSX", 0, -39, 0, 0, 0, 0, -5, -44
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", 0, -17, 0, 0, 0, -1, -7, -25
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 0, -359, 0, 0, 0, -14, -57, -430
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/activityFeed.tsx", "TypeScript JSX", 0, -62, 0, 0, 0, -1, -9, -72
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/attemptOverlay.tsx", "TypeScript JSX", 0, -188, 0, 0, 0, -3, -16, -207
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/chatOverlay.tsx", "TypeScript JSX", 0, -149, 0, 0, 0, -1, -10, -160
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/gradeComparison.ts", "TypeScript", 0, 0, 0, -131, 0, -20, -26, -177
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapApiRequests.tsx", "TypeScript JSX", 0, -674, 0, 0, 0, -22, -78, -774
